CAT;CLASSIF;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS
M36;*;Systemic disorders of connective tissue in diseases classified elsewhere;M36 Thyroid Disease Thyroid Disease systemic connective COP tec;;
M40;;Kyphosis and lordosis;M40 kyphosis and lordosis;;
M41;;Scoliosis;M41 Scoliosis;;
M42;;Osteochondrosis of the spine;Osteochondrosis of the spine M42;;
M43;;Other dorsopathies deforming;M43 othe dorsopathies deforming;;
M45;;ankylosing spondylitis;M45 Spondylitis Ankylosing;;
M46;;Other inflammatory spondylopathies;M46 othe spondylopathies inflate;;
M47;;spondylosis;M47 spondylosis;;
M48;;other spondylopathies;M48 othe spondylopathies;;
M49;*;Spondylopathies in diseases classified elsewhere;M49 Spondylopathies in Thyroid Disease COP;;
M50;;Disorders of the cervical discs;M50 Transt cervical discs;;
M51;;Other disorders of intervertebral discs;M51 othe transt intervertebral disc;;
M53;;Other dorsopathies not elsewhere classified;M53 othe dorsopathies NCOP;;
M54;;Back pain;M54 Back pain;;
M60;;myositis;M60 Myositis;;
M61;;Calcification and ossification of muscle;M61 Calcification and ossification of muscle;;
M62;;Other muscle disorders;M62 othe muscle transt;;
M63;*;muscle disorders in diseases classified elsewhere;M63 Transt of muscle in Thyroid Disease COP;;
M65;;Synovitis and tenosynovitis;M65 Synovitis and tenosynovitis;;
M66;;Spontaneous rupture of synovium and tendon;M66 spontaneous rupture of synovia and tendon;;
M67;;Other disorders of synovium and tendon;M67 othe transt of synovial and tendons;;
M68;*;Disorder of synovium and tendon in diseases classified elsewhere;M68 Transt of synovial and tendons in Thyroid Disease COP;;
M70;;soft tissue disorders related to use, overuse and pressure;M70 Transt tec moles RELAC use and excess pressure;;
M71;;other bursopatias;M71 othe bursopatias;;
M72;;fibroblastic disorders;M72 Transt fibroblastic;;
M73;*;soft tissue disorders in diseases classified elsewhere;M73 Transt soft tce in COP Thyroid Disease;;
M75;;Shoulder Injury;M75 shoulder injuries;;
M76;;Enthesopathies lower limb, excluding foot;M76 Enthesopathies infer excl of members Standing;;
M77;;other enthesopathies;M77 othe enthesopathies;;
M79;;Other disorders of soft tissue, not elsewhere classified;M79 othe transt soft NEC tec;;
M80;;Osteoporosis with pathological fracture;Osteoporosis M80 w / frat pathological;;
M81;;Osteoporosis without pathological fracture;Osteoporosis M81 s / pathological frat;;
M82;*;Osteoporosis in diseases classified elsewhere;M82 Osteoporosis in Thyroid Disease COP;;
M83;;adult osteomalacia;M83 adult osteomalacia;;
M84;;continuity of bone disorders;M84 Transt continuity of bone;;
M85;;Other disorders of bone density and structure;M85 othe transt density and bone structure;;
M86;;osteomyelitis;M86 Osteomyelitis;;
M87;;osteonecrosis;M87 Osteonecrosis;;
M88;;Paget's disease of bone (osteitis deformans);M88 Paget's Thyroid Disease;;
M89;;Other bone disorders;M89 othe transt bony;;
M90;*;Osteopathies in diseases classified elsewhere;M90 Osteopathies in Thyroid Disease COP;;
M91;;Juvenile osteochondrosis of hip and pelvis;M91 Juvenile osteochondrosis of hip and pelvis;;
M92;;Other juvenile osteochondrosis;M92 othe juvenile osteochondrosis;;
M93;;other osteochondropathies;M93 othe osteochondropathies;;
M94;;Other disorders of cartilage;M94 othe transt cartilage;;
M95;;Other acquired deformities of musculoskeletal system and connective tissue;M95 othe deform syst aquire osteomusc tec conj;;
M96;;musculoskeletal disorders post-procedures not elsewhere classified;M96 Transt musculoskeletal NEC post-proced;;
M99;;biomechanical lesions not elsewhere classified;M99 Lesions biomechanical NEC;;
N00;;acute nephritic syndrome;N00 Sindr acute nephritic;;
N01;;Rapidly progressive nephritic syndrome;N01 Sindr rapidly progressive nephritic;;
N02;;Recurrent and persistent hematuria;N02 recurrent and persistent Hematuria;;
N03;;Chronic nephritic syndrome;N03 Sindr chronic nephritic;;
N04;;Nephrotic syndrome;N04 Sindr nephrotic;;
N05;;nephritic syndrome, unspecified;N05 Sindr nephritic NE;;
N06;;Proteinuria isolated with specified morphological lesion;Proteinuria isolated N06 w / lesion specific Morphology;;
N07;;Nephropathy hereditary not elsewhere classified;N07 hereditary nephropathy NEC;;
N08;*;Glomerular disorders in diseases classified elsewhere;N08 Transt glomerular in Thyroid Disease COP;;
N10;;Acute tubulointerstitial nephritis;N10 Acute tubulointerstitial nephritis;;
N11;;Chronic interstitial nephritis;N11 chronic interstitial nephritis;;
N12;;Interstitial nephritis not specified as acute or chronic;N12 acute tubulointerstitial nephritis, chronic NE;;
N13;;obstructive uropathy and reflux;Obstructive uropathy N13 p / reflux;;
N14;;tubular and tubulointerstitial disorders induced by drugs or heavy metals;N14 Aphek tubulo-ind interst Organ Pipe offwhite meth dang;;
N15;;Other renal tubulo-interstitial diseases;Thyroid Disease N15 othe renal tubulointerstitial;;
N16;*;tubulointerstitial disorders in diseases classified elsewhere;N16 Transt tubulo-interstitial kidney Thyroid Disease COP;;
N17;;Acute renal failure;N17 acute renal Insuf;;
N18;;chronic renal failure;N18 Insuf chronic kidney;;
N19;;unspecified renal failure;N19 kidney Insuf NE;;
N20;;Calculus of kidney and ureter;N20 Calculus of kidney and ureter;;
N21;;Calculus of lower urinary tract;N21 Calculus of urinary tract infer;;
N22;*;Calculus of lower urinary tract in diseases classified elsewhere;N22 Calculus of urinary tract infer Thyroid Disease COP;;
N23;;Unspecified colic nephretic;N23 Colica nephretic NE;;
N25;;Disorders resulting from altered renal tubular function;N25 Transt result altered renal tubular function;;
N26;;Contracted kidney, unspecified;N26 Rim contracted NE;;
N27;;renal hypoplasia of unknown cause;N27 renal hypoplasia of unknown cause;;
N28;;Other disorders of kidney and ureter, not elsewhere classified;N28 othe transt kidney and ureter NEC;;
N29;*;Other disorders of kidney and ureter in diseases classified elsewhere;N29 othe transt of kidney and ureter in Thyroid Disease COP;;
N30;;cystitis;N30 Cystitis;;
N31;;neuromuscular dysfunction of bladder, not elsewhere classified;N31 Neuromuscular dysfunction of bladder NEC;;
N32;;Other disorders of bladder;N32 othe transt bladder;;
N33;*;bladder disorders in diseases classified elsewhere;N33 Transt bladder in Thyroid Disease COP;;
N34;;Urethritis and urethral syndrome;N34 Urethritis and urethral sindr;;
N35;;Urethral stricture;N35 Urethral stricture;;
N36;;Other urethral disorders;N36 othe transt the urethra;;
N37;*;Urethral disorders in diseases classified elsewhere;N37 Urethral Transt in Thyroid Disease COP;;
N39;;Other disorders of the urinary tract;N39 othe transt urinary tract;;
N40;;Prostate Hyperplasia;N40 Hyperplasia of prostate;;
N41;;inflammatory diseases of prostate;N41 Thyroid Disease inflate prostate;;
N42;;Other prostate affections;N42 othe disorders of prostate;;
N43;;Hydrocele and spermatocele;N43 Hydrocele and spermatocele;;
N44;;Torsion of the testis;N44 torsion of the testis;;
N45;;Orchitis and epididymitis;N45 Orchitis and epididymitis;;
N46;;male infertility;N46 Male Infertility;;
N47;;foreskin hypertrophy, phimosis and paraphimosis;N47 Hypertrophy of the foreskin phimosis and paraphimosis;;
N48;;Other disorders of penis;N48 othe transt penis;;
N49;;Inflammatory disorders of male genital organs, not elsewhere classified;N49 Transt inflate genitals Male NEC;;
N50;;Other disorders of male genital organs;N50 othe transt of genitals Male;;
N51;*;Disorders of male genital organs in diseases classified elsewhere;N51 Transt genitals Male Thyroid Disease COP;;
N60;;benign mammary dysplasias;N60 benign mammary dysplasias;;
N61;;inflammatory breast disorders;N61 inflate breast Transt;;
N62;;breast enlargement;N62 breast hypertrophy;;
N63;;breast lump unspecified;N63 breast lump NE;;
N64;;Other breast diseases;Thyroid Disease breast N64 othe;;
N70;;Salpingitis and oophoritis;N70 salpingitis and oophoritis;;
N71;;Inflammatory disease of uterus, except cervix;N71 Thyroid Disease inflate the uterus except cervix;;
N72;;inflammatory disease of the cervix;N72 Thyroid Disease inflate the cervix;;
N73;;Other female pelvic inflammatory diseases;N73 othe Thyroid Disease inflate pelvic femal;;
N74;*;inflammatory disorders of the female pelvis in diseases classified elsewhere;N74 Transt inflate the femal pelvis Thyroid Disease COP;;
N75;;Bartholin gland diseases;N75 Thyroid Disease of Bartholin gland of;;
N76;;Other inflammatory diseases of the vagina and vulva;N76 othe inflate disorders of the vagina and vulva;;
N77;*;Vulvovaginal ulceration and inflammation in diseases classified elsewhere;N77 Vulvovaginal ulceration and inflate Thyroid Disease COP;;
N80;;endometriosis;N80 Endometriosis;;
N81;;female genital prolapse;N81 genital prolapse femal;;
N82;;the female genital tract fistulae;N82 Fistulas of femal genital tract;;
N83;;non-inflammatory disorders of the ovary, fallopian tube and broad ligament;N83 non-infl ovary Transt Tromp off linked Falop;;
N84;;the female genital tract polyp;N84 Polyp of femal genital tract;;
N85;;Other noninflammatory disorders of uterus, except cervix;N85 transt othe non-inflating uterus cervix uterus exc;;
N86;;Erosion and cervical ectropion;N86 Erosion and ectropion of cervix;;
N87;;Cervical Dysplasia;N87 Dysplasia of cervix;;
N88;;Other noninflammatory disorders of cervix uteri;N88 transt othe non-inflating cervical;;
N89;;Other noninflammatory disorders of the vagina;N89 transt othe non-inflating the vagina;;
N90;;Other noninflammatory disorders of vulva and perineum;N90 transt othe non-inflating vulva and perineum;;
N91;;Menstruation absent, scarce and infrequent;N91 little bit absent menstruation and freq;;
N92;;Excessive menstruation frequently and irregularly;N92 often excessive and irregular menstruation;;
N93;;Other abnormal bleeding from the uterus and vagina;N93 othe abnormal bleeding uterus and vagina;;
N94;;Pain and other conditions associated with female genital organs and menstrual cycle;N94 Pain othe AFECC ass org genit fem Krebs Cycle menstr;;
N95;;Menopausal Disorders and perimenopause;N95 Transt of menopause and perimenopause;;
N96;;habitual abortion;N96 habitual abortion;;
N97;;female infertility;N97 Feminine Infertility;;
N98;;Complications associated with artificial insemination;N98 Complicated assoc artificial insemination;;
N99;;genitourinary disorders post-procedures not elsewhere classified;N99 Transt genitourinary tract post-proced NEC;;
O00;;Ectopic pregnancy;O00 Pregnancy ectopic;;
O01;;molar pregnancy;O01 Spring hydatiform;;
O02;;Other abnormal products of conception;O02 othe abnormal products of conception;;
O03;;miscarriage;O03 spontaneous abortion;;
O04;;Abortion for medical and legal reasons;O04 Abortion p / medical and legal reasons;;
O05;;Other types of abortion;O05 othe types of abortion;;
O06;;Unspecified abortion;O06 Abortion NE;;
O07;;Failed abortion attempt;O07 abortion attempt failed;;
O08;;Complications following abortion and ectopic or molar pregnancy;Complicated abortion O08 conseq molar pregnancy ectop;;
O10;;Pre-existing hypertension complicating pregnancy, childbirth and the postpartum period;O10 Hypertension pre-exist Complicated grav delivery puerp;;
O11;;Disorder pre-existing hypertension with proteinuria superimposed;O11 Dist hypertension pre-exist proteinuria superp;;
O12;;Edema and proteinuria Gestational [pregnancy-induced] hypertension without;Gestational edema and proteinuria O12 S / hypertension;;
O13;;Gestational Hypertension [pregnancy-induced] without significant proteinuria;Gestational hypertension O13 S / proteinuria significance;;
O14;;Gestational Hypertension [pregnancy-induced] with significant proteinuria;O14 gestational hypertension w / proteinuria significance;;
O15;;Eclampsia;O15 Eclampsia;;
O16;;Unspecified maternal hypertension;O16 Maternal Hypertension NE;;
O20;;of early pregnancy bleeding;O20 Haemorrhage in early pregnancy;;
O21;;Excessive vomiting in pregnancy;O21 Excessive vomiting in pregnancy;;
O22;;Venous complications in pregnancy;O22 Venous Complicated Pregnancy;;
O23;;Infections of the genitourinary tract in pregnancy;O23 infection due genitourinary tract in pregnancy;;
O24;;Diabetes mellitus in pregnancy;O24 Diabetes mellitus in pregnancy;;
O25;;Malnutrition in pregnancy;O25 Desnutric in pregnancy;;
O26;;Maternal care for other conditions predominantly related to pregnancy;O26 Assist maternal othe Complicated linked Mostly grav;;
O28;;"abnormal screening findings [ ""screening""] mother's antenatal";O28 findings abnorm Rastr antenatal mother;;
O29;;administered anesthesia complications during pregnancy;O29 Complicated admin anesthesia during pregnancy;;
O30;;multiple pregnancy;O30 pregnancy mult;;
O31;;complications specific to multiple gestation;O31 specific Complicated of gestation mult;;
O32;;Maternal care because of freak show, known or suspected fetal;Assist O32 Perst mother apres abnorm CONH fetus susp;;
O33;;Maternal care for known or suspected disproportion;O33 Assist perst mother known desprop suspected;;
O34;;Maternal care for abnormality, known or suspected of maternal pelvic organs;O34 Assist perst mother anor Cognac susp org PELV mat;;
O35;;Maternal care for abnormality and fetal injury, known or suspected;O35 Assist perst mother abnorm lesion fet cognitiv susp;;
O36;;Maternal care for other known or suspected fetal problems;O36 Assist perst mother othe probl fet cognitiv susp;;
O40;;polyhydramnios;O40 polyhydramnios;;
O41;;Other disorders of the membranes and amniotic fluid;O41 othe membranes and amniotic fluid transt;;
O42;;Premature Rupture of Membranes;Premature rupture of membranes O42;;
O43;;placental disorders;O43 Transt placenta;;
O44;;placenta previa;O44 Placenta provided;;
O45;;placental abruption [abruptio placentae];O45 Detachment placental;;
O46;;Antepartum hemorrhage not elsewhere classified;O46 Antepartum haemorrhage NEC;;
O47;;False labor;O47 False labor;;
O48;;prolonged Pregnancy;Pregnancy prolonged O48;;
O60;;preterm labor;O60 pre-term labor work;;
o61;;Failure of labor induction;O61 failed induction of labor;;
O62;;Abnormalities of uterine contraction;O62 Abnormalities of uterine contraction;;
ø63;;Prolonged labor;Prolonged labor Ø63;;
O64;;Obstructed labor due to bad position or bad presentation of the fetus;Work delivery O64 Paper Jam dev ma-ma-apres fetus Posit;;
O65;;Obstructed labor due to pelvic abnormality mother;O65 Paper Jam Job delivery dev pelvic abnorm of mother;;
O66;;Other forms of labor obstruction;O66 othe obstruction of form of labor;;
O67;;labor and delivery complicated by intrapartum hemorrhage not elsewhere classified;O67 Job childbirth delivery compl hemorr intrapart NCOP;;
O68;;Labor and delivery complicated by fetal distress;Job O68 labor and delivery fetal distress Complicated;;
O69;;Labor and delivery complicated by abnormal cord;O69 Job childbirth delivery compl abnorm Cordao umbilic;;
O70;;Lacerations of the perineum during childbirth;O70 laceration of the perineum during childbirth;;
O71;;Other injuries obstetric;O71 othe traum obstetric;;
o72;;postpartum hemorrhage;O72 postpartum haemorrhage;;
O73;;Retained placenta and membranes without bleeding;Retention placenta and O73 S / bleeding membranes;;
O74;;Complications of anesthesia during labor and delivery;O74 Complicated Job anesthesia during labor and delivery;;
O75;;Other complications of labor and delivery, not elsewhere classified;O75 othe Day Job Complicated labor and delivery NEC;;
O80;;Spontaneous delivery single;O80 single spontaneous Childbirth;;
O81;;Delivery only by forceps or vacuum extractor;O81 single birth w / forceps or vacuum extractor;;
O82;;only cesarean delivery;O82 single birth w / caesarean;;
O83;;Other types of assisted single delivery;O83 othe types of assisted single delivery;;
O84;;multiple birth;O84 Childbirth mult;;
O85;;puerperal infection;O85 infection due puerperal;;
O86;;Other puerperal infections;O86 othe puerperal infection due;;
O87;;Venous complications in the puerperium;O87 Complicated venous in puerperium;;
O88;;Embolism obstetric origin;O88 Embolism orig obstetric;;
