SUBCAT;CLASSIF;RESTRSEXO;CAUSAOBITO;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS
M340;;;;Esclerose sistêmica progressiva;M34.0 Esclerose sistemica progressiva
M341;;;;Síndrome CR(E)ST;M34.1 Sindr CREST
M342;;;;Esclerose sistêmica induzida por droga e substâncias químicas;M34.2 Esclerose sistemica induz p/droga subst quim
M348;;;;Outras formas de esclerose sistêmica;M34.8 Outr form de esclerose sistemica
M349;;;;Esclerose sistêmica não especificada;M34.9 Esclerose sistemica NE
M350;;;;Síndrome seca [Sjögren];M35.0 Sindr seca
M351;;;;Outras síndromes superpostas;M35.1 Outr sindr superpostas
M352;;;;Doença de Behçet;M35.2 Doenc de Behcet
M353;;;N;Polimialgia reumática;M35.3 Polimialgia reumatica
M354;;;;Fasciíte (eosinofílica) difusa;M35.4 Fasciite difusa
M355;;;;Fibroesclerose multifocal;M35.5 Fibroesclerose multifocal
M356;;;;Paniculite recidivante [Weber-Christian];M35.6 Paniculite recidivante
M357;;;;Síndrome de hipermobilidade;M35.7 Sindr de hipermobilidade
M358;;;;Outro comprometimento sistêmico especificado do tecido conjuntivo;M35.8 Outr compr sistemico espec do tec conjuntivo
M359;;;;Comprometimento sistêmico não especificado do tecido conjuntivo;M35.9 Compr sistemico NE do tec conjuntivo
M360;*;;;Dermato(poli)miosite em doenças neoplásicas;M36.0 Dermatomiosite em doenc neoplasicas
M361;*;;;Artropatia em doenças neoplásicas classificadas;M36.1 Artropatia em doenc neoplasicas classif
M362;*;;;Artropatia hemofílica;M36.2 Artropatia hemofilica
M363;*;;;Artropatias em outras doenças hematológicas;M36.3 Artropatias em outr doenc hematologicas
M364;*;;;Artropatia associada a reações de hipersensibilidade classificadas em outra parte;M36.4 Artropatia assoc reacoes hipersensib COP
M368;*;;;Doenças sistêmicas do tecido conjuntivo em outras doenças classificadas em outra parte;M36.8 Doenc sistemicas tec conjunt outr doenc COP
M400;;;N;Cifose postural;M40.0 Cifose postural
M401;;;N;Outras cifoses secundárias;M40.1 Outr cifoses secund
M402;;;N;Outras cifoses e as não especificadas;M40.2 Outr cifoses e as NE
M403;;;N;Síndrome da retificação da coluna vertebral;M40.3 Sindr da retificacao da coluna vertebral
M404;;;N;Outras lordoses;M40.4 Outr lordoses
M405;;;N;Lordose não especificada;M40.5 Lordose NE
M410;;;;Escoliose idiopática infantil;M41.0 Escoliose idiopatica infantil
M411;;;;Escoliose idiopática juvenil;M41.1 Escoliose idiopatica juvenil
M412;;;;Outras escolioses idiopáticas;M41.2 Outr escolioses idiopaticas
M413;;;;Escoliose toracogênica;M41.3 Escoliose toracogenica
M414;;;;Escoliose neuromuscular;M41.4 Escoliose neuromuscular
M415;;;;Outras escolioses secundárias;M41.5 Outr escolioses secund
M418;;;;Outras formas de escoliose;M41.8 Outr form de escoliose
M419;;;;Escoliose não especificada;M41.9 Escoliose NE
M420;;;;Osteocondrose vertebral juvenil;M42.0 Osteocondrose vertebral juvenil
M421;;;;Osteocondrose vertebral do adulto;M42.1 Osteocondrose vertebral do adulto
M429;;;;Osteocondrose vertebral, não especificada;M42.9 Osteocondrose vertebral NE
M430;;;;Espondilólise;M43.0 Espondilolise
M431;;;;Espondilolistese;M43.1 Espondilolistese
M432;;;;Outras fusões da coluna vertebral;M43.2 Outr fusoes da coluna vertebral
M433;;;;Subluxação atlanto-axial recidivante com mielopatia;M43.3 Subluxacao atlanto-axial recidiv mielopatia
M434;;;;Outras subluxações atlanto-axiais recidivantes;M43.4 Outr subluxacoes atlanto-axiais recidivantes
M435;;;;Outras subluxações vertebrais recidivantes;M43.5 Outr subluxacoes vertebrais recidivantes
M436;;;N;Torcicolo;M43.6 Torcicolo
M438;;;N;Outras dorsopatias deformantes especificadas;M43.8 Outr dorsopatias deformantes espec
M439;;;N;Dorsopatia deformante, não especificada;M43.9 Dorsopatia deformante NE
M45;;;;Espondilite ancilosante;M45   Espondilite ancilosante
M460;;;;Entesopatia vertebral;M46.0 Entesopatia vertebral
M461;;;;Sacroileíte não classificada em outra parte;M46.1 Sacroileite NCOP
M462;;;;Osteomielite das vértebras;M46.2 Osteomielite das vertebras
M463;;;;Infecção (piogênica) do disco intervertebral;M46.3 Infecc do disco intervertebral
M464;;;;Discite não especificada;M46.4 Discite NE
M465;;;;Outras espondilopatias infecciosas;M46.5 Outr espondilopatias infecc
M468;;;;Outras espondilopatias inflamatórias especificadas;M46.8 Outr espondilopatias inflam espec
M469;;;;Espondilopatia inflamatória não especificada;M46.9 Espondilopatia inflam NE
M470;+;;;Síndromes de compressão da artéria espinhal anterior ou vertebral anterior;M47.0 Sindr compress art espinhal ant ou vert ant
M471;;;;Outras espondiloses com mielopatia;M47.1 Outr espondiloses c/mielopatia
M472;;;;Outras espondiloses com radiculopatias;M47.2 Outr espondiloses c/radiculopatias
M478;;;;Outras espondiloses;M47.8 Outr espondiloses
M479;;;;Espondilose não especificada;M47.9 Espondilose NE
M480;;;N;Estenose da coluna vertebral;M48.0 Estenose da coluna vertebral
M481;;;;Hiperostose ancilosante [Forestier];M48.1 Hiperostose ancilosante
M482;;;;Kissing spine;M48.2 Kissing spine
M483;;;;Espondilopatia traumática;M48.3 Espondilopatia traum
M484;;;;Fratura de fadiga de vértebra;M48.4 Frat de fadiga de vertebra
M485;;;;Vértebra colapsada não classificada em outra parte;M48.5 Vertebra colapsada NCOP
M488;;;;Outras espondilopatias especificadas;M48.8 Outr espondilopatias espec
M489;;;;Espondilopatia não especificada;M48.9 Espondilopatia NE
M490;*;;;Tuberculose da coluna vertebral;M49.0 Tuberc da coluna vertebral
M491;*;;;Espondilite por Brucella;M49.1 Espondilite p/Brucella
M492;*;;;Espondilite por enterobactérias;M49.2 Espondilite p/enterobacterias
M493;*;;;Espondilopatia em outras doenças infeciosas e parasitárias classificadas em outra parte;M49.3 Espondilopatia outr doenc infecc parasit COP
M494;*;;;Espondilopatia neuropática;M49.4 Espondilopatia neuropatica
M495;*;;;Vértebra colapsada em doenças classificadas em outra parte;M49.5 Vertebra colapsada em doenc COP
M498;*;;;Espondilopatia em outras doenças classificadas em outra parte;M49.8 Espondilopatia outr doenc COP
M500;+;;;Transtorno do disco cervical com mielopatia;M50.0 Transt do disco cervical c/mielopatia
M501;;;;Transtorno do disco cervical com radiculopatia;M50.1 Transt do disco cervical c/radiculopatia
M502;;;;Outro deslocamento de disco cervical;M50.2 Outr deslocamento de disco cervical
M503;;;;Outra degeneração de disco cervical;M50.3 Outr degeneracao de disco cervical
M508;;;;Outros transtornos de discos cervicais;M50.8 Outr transt de discos cervicais
M509;;;;Transtorno não especificado de disco cervical;M50.9 Transt NE de disco cervical
M510;+;;;Transtornos de discos lombares e de outros discos intervertebrais com mielopatia;M51.0 Transt disco lombar outr intervert mielopat
M511;+;;;Transtornos de discos lombares e de outros discos intervertebrais com radiculopatia;M51.1 Transt disco lombar outr intervert radiculop
M512;;;;Outros deslocamentos discais intervertebrais especificados;M51.2 Outr desloc discais intervertebrais espec
M513;;;;Outra degeneração especificada de disco intervertebral;M51.3 Outr degeneracao espec disco intervertebral
M514;;;;Nódulos de Schmorl;M51.4 Nodulos de Schmorl
M518;;;;Outros transtornos especificados de discos intervertebrais;M51.8 Outr transt espec de discos intervertebrais
M519;;;;Transtorno não especificado de disco intervertebral;M51.9 Transt NE de disco intervertebral
M530;;;N;Síndrome cervicocraniana;M53.0 Sindr cervicocraniana
M531;;;N;Síndrome cervicobraquial;M53.1 Sindr cervicobraquial
M532;;;N;Instabilidades da coluna vertebral;M53.2 Instabilidades da coluna vertebral
M533;;;N;Transtornos sacroccígeos não classificados em outra parte;M53.3 Transt sacroccigeos NCOP
M538;;;N;Outras dorsopatias especificadas;M53.8 Outr dorsopatias espec
M539;;;N;Dorsopatia não especificada;M53.9 Dorsopatia NE
M540;;;N;Paniculite atingindo regiões do pescoço e do dorso;M54.0 Paniculite atingindo regioes pescoco e dorso
M541;;;N;Radiculopatia;M54.1 Radiculopatia
M542;;;N;Cervicalgia;M54.2 Cervicalgia
M543;;;N;Ciática;M54.3 Ciatica
M544;;;N;Lumbago com ciática;M54.4 Lumbago c/ciatica
M545;;;N;Dor lombar baixa;M54.5 Dor lombar baixa
M546;;;N;Dor na coluna torácica;M54.6 Dor na coluna toracica
M548;;;N;Outra dorsalgia;M54.8 Outr dorsalgia
M549;;;N;Dorsalgia não especificada;M54.9 Dorsalgia NE
M600;;;N;Miosite infecciosa;M60.0 Miosite infecc
M601;;;N;Miosite intersticial;M60.1 Miosite intersticial
M602;;;N;Granuloma de corpo estranho no tecido mole não classificado em outra parte;M60.2 Granuloma de corpo estranho no tec mole NCOP
M608;;;N;Outras miosites;M60.8 Outr miosites
M609;;;N;Miosite não especificada;M60.9 Miosite NE
M610;;;;Miosite ossificante traumática;M61.0 Miosite ossificante traum
M611;;;;Miosite ossificante progressiva;M61.1 Miosite ossificante progressiva
M612;;;;Calcificação e ossificação paralítica de músculo;M61.2 Calcificacao e ossificacao paralit musculo
M613;;;;Calcificação e ossificação de músculo associadas com queimaduras;M61.3 Calcificacao e ossificacao musc assoc queim
M614;;;;Outra calcificação de músculo;M61.4 Outr calcificacao de musculo
M615;;;;Outra ossificação de músculo;M61.5 Outr ossificacao de musculo
M619;;;;Calcificação e ossificação de músculo não especificada;M61.9 Calcificacao e ossificacao de musculo NE
M620;;;;Diástase de músculo;M62.0 Diastase de musculo
M621;;;;Outras rupturas musculares (não-traumáticas);M62.1 Outr rupturas musculares
M622;;;;Infarto isquêmico do músculo;M62.2 Infarto isquemico do musculo
M623;;;;Síndrome de imobilidade (paraplégica);M62.3 Sindr de imobilidade
M624;;;;Contratura de músculo;M62.4 Contratura de musculo
M625;;;;Perda e atrofia muscular não classificadas em outra parte;M62.5 Perda e atrofia muscular NCOP
M626;;;;Distensão muscular;M62.6 Distensao muscular
M628;;;;Outros transtornos musculares especificados;M62.8 Outr transt musculares espec
M629;;;;Transtorno muscular não especificado;M62.9 Transt muscular NE
M630;*;;;Miosite em doenças bacterianas classificadas em outra parte;M63.0 Miosite em doenc bacter COP
M631;*;;;Miosite em doenças infecciosas causadas por protozoários e parasitas classificadas em outra parte;M63.1 Miosite doenc infecc caus protoz parasit COP
M632;*;;;Miosite em outras doenças infecciosas classificadas em outra parte;M63.2 Miosite em outr doenc infecc COP
M633;*;;;Miosite na sarcoidose;M63.3 Miosite na sarcoidose
M638;*;;;Outros transtornos musculares em doenças classificadas em outra parte;M63.8 Outr transt musculares em doenc COP
M650;;;N;Abscesso da bainha tendínea;M65.0 Abscesso da bainha tendinea
M651;;;N;Outras (teno)sinovites infecciosas;M65.1 Outr sinovites infecc
M652;;;N;Tendinite calcificada;M65.2 Tendinite calcificada
M653;;;N;Dedo em gatilho;M65.3 Dedo em gatilho
M654;;;N;Tenossinovite estilóide radial [de Quervain];M65.4 Tenossinovite estiloide radial
M658;;;N;Outras sinovites e tenossinovites;M65.8 Outr sinovites e tenossinovites
M659;;;N;Sinovite e tenossinovite não especificadas;M65.9 Sinovite e tenossinovite NE
M660;;;N;Ruptura de cisto poplíteo;M66.0 Ruptura de cisto popliteo
M661;;;N;Ruptura de sinóvia;M66.1 Ruptura de sinovia
M662;;;N;Ruptura espontânea de tendões extensores;M66.2 Ruptura espontanea de tendoes extensores
M663;;;N;Ruptura espontânea de tendões flexores;M66.3 Ruptura espontanea de tendoes flexores
M664;;;N;Ruptura espontânea de outros tendões;M66.4 Ruptura espontanea de outr tendoes
M665;;;N;Ruptura espontânea de tendões não especificados;M66.5 Ruptura espontanea de tendoes NE
M670;;;N;Tendão de Aquiles curto (adquirido);M67.0 Tendao de Aquiles curto
M671;;;N;Outra contratura de tendão (bainha);M67.1 Outr contratura de tendao
M672;;;N;Hipertrofia sinovial não classificada em outra parte;M67.2 Hipertrofia sinovial NCOP
M673;;;N;Sinovite transitória;M67.3 Sinovite transitoria
M674;;;N;Gânglios;M67.4 Ganglios
M678;;;N;Outros transtornos especificados da sinóvia e do tendão;M67.8 Outr transt espec da sinovia e do tendao
M679;;;N;Transtorno não especificado da sinóvia e do tendão;M67.9 Transt NE da sinovia e do tendao
M680;*;;;Sinovite e tenossinovite em doenças bacterianas classificadas em outra parte;M68.0 Sinovite e tenossinovite doenc bacter COP
M688;*;;;Outros transtornos de sinóvias e de tendões em doenças classificadas em outra parte;M68.8 Outr transt sinovias e tendoes em doenc COP
M700;;;N;Sinovite crepitante crônica da mão e do punho;M70.0 Sinovite crepitante cronica da mao e punho
M701;;;N;Bursite da mão;M70.1 Bursite da mao
M702;;;N;Bursite do olécrano;M70.2 Bursite do olecrano
M703;;;N;Outras bursites do cotovelo;M70.3 Outr bursites do cotovelo
M704;;;N;Bursite pré-patelar;M70.4 Bursite pre-patelar
M705;;;N;Outras bursites do joelho;M70.5 Outr bursites do joelho
M706;;;N;Bursite trocantérica;M70.6 Bursite trocanterica
M707;;;N;Outras bursites do quadril;M70.7 Outr bursites do quadril
M708;;;N;Outros transtornos dos tecidos moles relacionados com o uso, uso excessivo e pressão;M70.8 Outr transt tec moles relac uso excess press
M709;;;N;Transtorno não especificado dos tecidos moles relacionados com o uso, uso excessivo e pressão;M70.9 Transt NE tec moles relac uso excess pressao
M710;;;N;Abscesso de bolsa sinovial;M71.0 Abscesso de bolsa sinovial
M711;;;N;Outras bursites infecciosas;M71.1 Outr bursites infecc
M712;;;N;Cisto sinovial do espaço poplíteo [Baker];M71.2 Cisto sinovial do espaco popliteo
M713;;;N;Outros cistos de bolsa sinovial;M71.3 Outr cistos de bolsa sinovial
M714;;;N;Depósito de cálcio em bolsa sinovial;M71.4 Deposito de calcio em bolsa sinovial
M715;;;N;Outras bursites não classificadas em outra parte;M71.5 Outr bursites NCOP
M718;;;N;Outras bursopatias especificadas;M71.8 Outr bursopatias espec
M719;;;N;Bursopatia não especificada;M71.9 Bursopatia NE
M720;;;;Fibromatose de fáscia palmar [Dupuytren];M72.0 Fibromatose de fascia palmar
M721;;;;Coxins interfalângicos (nó dos dedos);M72.1 Coxins interfalangicos
M722;;;;Fibromatose da fáscia plantar;M72.2 Fibromatose da fascia plantar
M724;;;;Fibromatose pseudossarcomatosa;M72.4 Fibromatose pseudossarcomatosa
M726;;;;Fasciíte necrosante;M72.6 Fasciite necrosante
M728;;;;Outros transtornos fibroblásticos;M72.8 Outr transt fibroblasticos
M729;;;;Transtorno fibroblástico não especificado;M72.9 Transt fibroblastico NE
M730;*;;;Bursite gonocócica;M73.0 Bursite gonococica
M731;*;;;Bursite sifilítica;M73.1 Bursite sifilitica
M738;*;;;Outros transtornos dos tecidos moles em outras doenças classificadas em outra parte;M73.8 Outr transt dos tec moles em outr doenc COP
M750;;;N;Capsulite adesiva do ombro;M75.0 Capsulite adesiva do ombro
M751;;;N;Síndrome do manguito rotador;M75.1 Sindr do manguito rotador
M752;;;N;Tendinite bicepital;M75.2 Tendinite bicepital
M753;;;N;Tendinite calcificante do ombro;M75.3 Tendinite calcificante do ombro
M754;;;N;Síndrome de colisão do ombro;M75.4 Sindr de colis do ombro
M755;;;N;Bursite do ombro;M75.5 Bursite do ombro
M758;;;N;Outras lesões do ombro;M75.8 Outr lesoes do ombro
M759;;;N;Lesão não especificada do ombro;M75.9 Lesao NE do ombro
M760;;;N;Tendinite glútea;M76.0 Tendinite glutea
M761;;;N;Tendinite do psoas;M76.1 Tendinite do psoas
M762;;;N;Esporão da crista ilíaca;M76.2 Esporao da crista iliaca
M763;;;N;Síndrome da faixa iliotibial;M76.3 Sindr da faixa iliotibial
M764;;;N;Bursite tibial colateral [Pellegrini-Stieda];M76.4 Bursite tibial colateral
M765;;;N;Tendinite patelar;M76.5 Tendinite patelar
M766;;;N;Tendinite aquileana;M76.6 Tendinite aquileana
M767;;;N;Tendinite do perôneo;M76.7 Tendinite do peroneo
M768;;;N;Outras entesopatias do membro inferior, excluindo o pé;M76.8 Outr entesopatias do membro infer excl o pe
M769;;;N;Entesopatia do membro inferior não especificada;M76.9 Entesopatia do membro infer NE
M770;;;N;Epicondilite medial;M77.0 Epicondilite medial
M771;;;N;Epicondilite lateral;M77.1 Epicondilite lateral
M772;;;N;Periartrite do punho;M77.2 Periartrite do punho
M773;;;N;Esporão do calcâneo;M77.3 Esporao do calcaneo
M774;;;N;Metatarsalgia;M77.4 Metatarsalgia
M775;;;N;Outra entesopatia do pé;M77.5 Outr entesopatia do pe
M778;;;N;Outras entesopatias não classificadas em outra parte;M77.8 Outr entesopatias NCOP
M779;;;N;Entesopatia não especificada;M77.9 Entesopatia NE
M790;;;N;Reumatismo não especificado;M79.0 Reumatismo NE
M791;;;N;Mialgia;M79.1 Mialgia
M792;;;N;Nevralgia e neurite não especificadas;M79.2 Nevralgia e neurite NE
M793;;;N;Paniculite não especificada;M79.3 Paniculite NE
M794;;;N;Hipertrofia do coxim gorduroso (infrapatelar);M79.4 Hipertrofia do coxim gorduroso
M795;;;N;Corpo estranho residual no tecido mole;M79.5 Corpo estranho residual no tec mole
M796;;;N;Dor em membro;M79.6 Dor em membro
M797;;;N;Fibromialgia;M79.7 Fibromialgia
M798;;;N;Outros transtornos especificados dos tecidos moles;M79.8 Outr transt espec dos tec moles
M799;;;N;Transtorno dos tecidos moles não especificado;M79.9 Transt dos tec moles NE
M800;;F;;Osteoporose pós-menopáusica com fratura patológica;M80.0 Osteoporose pos-menopausica c/frat patolog
M801;;F;;Osteoporose pós-ooforectomia com fratura patológica;M80.1 Osteoporose pos-ooforectomia c/frat patolog
M802;;;;Osteoporose de desuso com fratura patológica;M80.2 Osteoporose de desuso c/frat patologica
M803;;;;Osteoporose por má-absorção pós-cirúrgica com fratura patológica;M80.3 Osteoporose ma-absorc pos-cirurg frat patol
